arrived_at,num_prefill_tokens,num_decode_tokens
563.2542500495911,3381,16
563.556214094162,7270,10
563.5588390827179,1155,30
563.6348919868469,7382,51
563.6350500583649,494,35
563.6422600746155,7435,61
563.6545479297638,2222,21
563.7543060779572,4120,19
563.8732969760895,581,18
563.9386329650879,693,7
563.9386811256409,1100,8
564.1359479427338,4175,14
564.1372880935669,679,149
564.1418180465698,492,130
564.1441371440887,1726,16
564.1814241409302,43,24
564.1902401447296,1156,8
564.455579996109,3381,10
564.5541150569916,4703,9
564.6358051300049,131,7
564.639466047287,3926,22
564.6396379470825,637,403
565.0354280471802,2964,11
565.0756499767303,5504,35
565.3551261425018,966,10
565.3805749416351,1156,25
565.4818639755249,514,28
565.7579550743103,715,17
565.954311132431,1157,11
567.5382571220398,363,25
567.6365129947662,695,7
567.6366000175476,1105,56
567.9395599365234,130,7
568.5401239395142,495,37
568.5410721302032,496,55
568.7350640296936,879,11
568.8220360279083,36,14
568.8350610733032,355,54
569.0176501274109,1556,21
569.034511089325,2409,25
569.0432329177856,496,76
569.0831530094147,455,29
569.1421120166779,879,22
569.183629989624,11,14
569.240602016449,1108,6
569.2794921398163,668,22
569.3406450748444,1370,12
569.3415551185608,47,23
569.3919949531555,37,21
569.5365300178528,355,60
569.6161811351776,456,18
569.6370511054993,2280,21
569.7408771514893,932,57
569.8385820388794,1702,23
569.8386421203613,2771,9
569.8386919498444,132,11
569.8397450447083,1030,41
569.8406989574432,1608,12
569.8417401313782,2747,10
569.8436319828033,2280,11
